,Wavlength,Coefficient
98,5098.761719,-0.431377493
99,5098.662598,-0.204682679
100,5098.775879,-0.06188761
101,6162.122559,-0.413282302
102,6162.252441,-0.278444315
103,6162.085449,-0.135805982
104,6162.270996,-0.063057186
105,6318.122559,-0.388475376
106,6318.105957,-0.122200941
107,5434.524414,0.385317561
108,5434.537598,0.254831047
109,5434.45752,-0.074981839
110,4626.232422,-0.381930051
111,4626.246094,-0.076961451
112,4626.137695,-0.044905021
113,4626.097168,-0.029465885
114,4626.219238,-0.010099038
115,5226.820801,-0.381057964
116,5225.476074,-0.369823563
117,5225.446777,-0.121218037
118,5225.491211,-0.057769022
119,5225.609863,-0.05116218
120,5225.580078,-0.026016972
121,5497.594238,-0.368960005
122,5497.463379,-0.340937847
123,5497.61084,-0.180929631
124,5497.446777,-0.145437454
125,5497.627441,-0.134377752
126,5497.643555,-0.061650681
127,5497.414063,-0.048266327
128,5497.430176,-0.025051169
129,5191.422852,-0.364721124
130,5191.39502,-0.154921232
131,5192.309082,-0.121660181
132,5191.40918,-0.102160027
133,5269.537598,0.313954136
134,5269.296875,0.239388734
135,5506.796875,0.306220044
136,5506.859375,-0.289863078
137,5506.718262,-0.260581523
138,5506.686523,-0.238012434
139,5506.891113,-0.121071039
140,5506.702148,-0.065370844
141,5506.875,-0.065311249
142,5506.780762,0.027036187
143,4534.006348,-0.304204759
144,4533.295898,-0.140599765
145,4534.03125,-0.104721253
146,4533.183594,-0.072232772
147,4533.906738,-0.005129016
148,6462.493164,-0.300318603
149,6462.477051,-0.131076813
150,5409.857422,-0.295098299
151,5409.703125,-0.195804044
152,5409.733887,-0.129837826
153,5409.71875,-0.070961645
154,5409.841797,-0.003431683
155,5365.356445,-0.294506101
156,5446.943359,0.289397294
157,5446.910645,0.070760788
158,6219.225586,-0.287851155
159,6219.378906,-0.180384552
160,6219.1875,-0.081215438
161,6219.206543,-0.017393519
162,5405.79834,0.280220561
163,5262.298828,-0.280048511
164,5262.314453,-0.024042047
165,5051.712891,-0.279886925
166,5051.654785,0.238884199
167,5051.640625,0.035910076
168,5281.739258,-0.279048179
169,5281.852051,-0.158352666
170,5281.879883,-0.064424449
171,5281.753418,-0.062665113
172,5281.865723,-0.056952193
173,5282.384766,0.012211886
174,4861.543945,-0.273638875
175,4861.491699,-0.218439132
176,4861.30957,-0.211215751
177,4861.46582,-0.162013286
178,4861.479004,-0.129427044
179,4861.11377,-0.092395474
180,4861.322266,-0.070425546
181,4861.426758,-0.062707794
182,4861.439941,-0.057346093
183,4861.361328,-0.039305075
184,4861.62207,-0.036012661
185,4861.557129,-0.03422736
186,4861.569824,-0.028264005
187,4861.504883,-0.028118403
188,4861.335449,-0.01501198
189,4861.257324,-0.014162181
190,4981.816895,-0.273218912
191,4981.843262,-0.019692756
192,6495.07666,-0.25874381
193,6495.095703,-0.11641729
194,4991.025879,-0.257896528
195,4991.013672,-0.064269896
196,4991.000977,-0.051865624
197,4924.000488,-0.255157518
198,4923.855957,-0.178754292
199,4923.884766,-0.058438756
200,4783.48291,-0.254445857
201,4783.365723,-0.030945424
202,6102.806152,-0.248347798
203,6280.773438,-0.247926573
204,5265.636719,-0.24746513
205,5265.66748,-0.178080257
206,4938.782715,-0.242322702
207,4938.769043,-0.114849546
208,4435.01123,-0.236115951
209,4434.901367,-0.188364726
210,4434.913574,-0.061682108
211,6141.779297,-0.235412883
212,6141.674316,-0.188381048
213,6141.689453,-0.129966454
214,6141.65918,-0.123133612
215,6141.704102,-0.089555309
216,6141.644043,-0.004509215
217,5420.342773,0.231201464
