,Wavelength,Coefficient
206,5265.973633,0.017914101
207,5194.885742,-0.30049775
208,5194.953613,0.268468756
209,5194.899414,-0.151550326
210,5194.87207,-0.101104924
211,5194.967285,0.002768133
212,4969.974121,-0.300148922
213,4970.553223,-0.173964341
214,6488.121582,0.292105249
215,6449.720703,-0.283839263
216,5040.605469,0.282012518
217,5041.077148,0.152816591
218,5040.025391,-0.126798957
219,5040.620605,0.073162656
220,5455.51709,-0.280908843
221,5455.611328,0.028317915
222,5041.669922,-0.279489229
223,5041.821289,-0.179464674
224,5041.685059,-0.062590648
225,5041.700195,-0.035842322
226,6199.216309,0.278544784
227,6199.231934,0.229950779
228,6200.163574,-0.063272354
229,5344.439941,0.274808962
230,5297.23877,0.272467716
231,5296.627441,-0.202778904
232,5297.327637,-0.088171954
233,5230.19043,0.271915352
234,4549.555176,-0.268744278
235,4549.541504,-0.082398475
236,4549.680664,-0.00370478
237,5728.413574,-0.267958326
238,5567.462402,-0.266898091
239,4934.187988,-0.265052754
240,4934.160156,-0.05038413
241,4927.927734,-0.264044445
242,4927.416504,0.19002262
243,5429.695313,0.262893701
244,5429.708984,0.134275397
245,5428.921875,-0.122718239
246,5429.777832,-0.004034744
247,6495.095703,-0.261417403
248,6495.07666,-0.100096419
249,5369.695313,-0.261079985
250,5369.195313,-0.163920127
251,5369.269043,-0.074909973
252,5370.384277,-0.059301733
253,4921.757813,0.258712675
254,6079.017578,0.256023275
255,6191.505859,-0.254613793
256,6191.473145,-0.085971414
257,6191.667969,-0.040116982
258,6191.489258,-0.004143371
259,6085.258789,0.253806335
260,6085.244141,0.054771264
261,5565.484863,0.253415856
262,5565.469727,0.101527239
263,6336.77002,-0.253058068
264,6336.754883,-0.109686662
265,6335.246582,-0.246767363
266,6335.413086,-0.092472435
267,6335.428223,-0.050777074
268,5225.594727,-0.246207154
269,5225.461426,-0.229271447
270,5225.446777,-0.112024709
271,5224.941895,0.064410584
272,5225.609863,-0.042070702
273,5426.241699,0.242464359
274,5426.255859,0.14187492
275,5204.443359,-0.242061305
276,5204.456055,-0.073037641
277,5922.103027,0.241475227
278,5922.120605,0.142163954
279,5921.638184,0.025816493
280,5703.581055,0.240912992
281,5702.64502,0.039681068
282,5752.098145,-0.239004543
283,5752.115723,-0.104480855
284,6004.828125,0.237050843
285,6005.536621,0.080398694
286,5087.055664,0.234214863
287,5087.040527,0.046700185
288,5238.602051,0.231697485
289,5250.274414,-0.229709138
290,5250.258301,-0.227755642
291,5250.146484,-0.197102263
292,5250.718262,-0.157404435
293,5250.291016,-0.145163714
294,5250.65625,0.11400484
295,5250.192383,0.11319746
296,5250.307617,-0.041753158
297,5250.286621,-0.025064019
298,5409.703125,-0.229385421
299,5409.61084,0.059963495
300,5409.71875,-0.023510631
301,5216.343262,-0.228800774
302,5216.358887,-0.17019556
303,5473.849609,-0.227685747
304,5473.835449,-0.157217985
305,5997.685547,-0.226930851
306,5997.719238,-0.121255791
307,4563.82666,-0.226431742
308,4564.569824,0.058748963
309,4579.985352,-0.226371166
310,4579.996582,-0.030320244
311,4580.410156,0.013338802
312,6256.277832,-0.223060159
313,6256.261719,-0.114787214
314,6256.310547,-0.002539339
315,4401.492676,-0.221994663
316,4401.504883,-0.133635241
317,4401.345703,-0.01964341
318,5732.324707,0.221696929
319,5886.313477,-0.217821239
320,5503.884766,0.216670052
321,4600.841309,-0.21460845
322,4600.701172,-0.012103101
323,4600.803223,-0.002503934
324,5784.924316,-0.211838467
325,6097.072266,0.209888427
326,4395.089355,-0.209556788
327,4395.114746,-0.180750993
328,4395.07666,-0.018515662
329,5060.078613,0.206792523
330,4586.370605,0.206462387
331,5709.927734,0.206291773
332,4778.256348,0.205933621
333,6610.137695,0.20492941
334,6609.701172,0.058257386
335,6609.138184,0.034342013
336,6254.185547,-0.203326179
337,5658.462402,-0.202868134
338,5657.925781,-0.096817721
339,5686.880371,0.202749027
340,5670.880859,0.201904946
341,5670.834961,0.153345162
342,5670.850098,0.139061427
343,4566.552246,-0.20184032
344,4565.665527,0.123883142
345,5348.419922,-0.201786244
346,5348.011719,0.162131955
347,6470.018555,-0.201390682
348,6470.03418,-0.18114315
349,5407.394531,0.201345976
350,5407.347656,0.096036674
